Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9
0.75213116,0,0,0,0,0,0,0,0,0.23428912
0.22951218,0,0,0.30705357,0,0,0,0.059971184,0.3297263,0.06151911
0.45450652,0,0,0,0,0,0,0,0.31547794,0.22157982
0.44829872,0,0,0.02408352,0,0,0,0,0.2033893,0.3163957
0.09350584,0.017751176,0,0,0,0,0,0.14657153,0.52993494,0.20572457
0.5776306,0.02377164,0,0.07213946,0,0,0,0,0,0.31339526
0.58837533,0,0,0,0,0,0.013082606,0,0.20568348,0.1775175
0.67619336,0,0,0.031611495,0,0,0,0,0.053447623,0.22530621
0.09783079,0,0,0,0,0,0,0,0,0.89177334
0.6856939,0,0,0,0,0,0,0,0.13101423,0.1729935
0.5445258,0,0,0,0,0,0.16971122,0.064530626,0.17607455,0.036299955
0.69541806,0,0,0.063147366,0,0,0,0,0.23256058,0
0.24716729,0,0,0.039366502,0,0,0,0,0.11062302,0.5958575
0.22980295,0,0,0,0,0,0,0.20086123,0.12583476,0.43095362
0.5657988,0.07076612,0,0,0,0,0,0,0.06309962,0.28977135
0.35678285,0,0,0,0,0,0,0,0,0.6356625
0.28169185,0,0,0.06669948,0,0,0,0,0,0.6460764
0,0,0.0101705305,0,0.07331303,0,0.048834793,0.26659384,0.24006994,0.35709187
0,0,0.07321164,0,0.22925742,0,0.01229246,0,0.19457218,0.48660055
0.09887339,0,0.022967573,0,0,0,0,0.08255384,0.32861748,0.4616067
0,0,0,0,0.34615445,0,0,0.49045503,0.09740319,0.062282797
0,0,0.088436276,0,0,0,0,0.020400973,0.25505856,0.62740403
0,0.013906366,0.013958988,0,0.10732751,0.021966394,0,0,0.66707516,0.17292143
0.014786608,0,0.010343742,0.1483532,0.102607325,0.08304563,0.058228984,0,0,0.5797538
0,0,0,0.038861018,0.054904483,0.22373486,0,0,0,0.6701039
0,0,0.030671634,0.01222737,0.014859622,0,0,0.16653325,0.19836132,0.5734229
0,0,0,0,0,0,0,0.17532848,0.29429466,0.5205061
0.051018767,0,0.045939043,0.032658257,0,0,0,0.212279,0.6132212,0.04231788
0.02233047,0,0.013819411,0,0.3616576,0,0,0.049093153,0.03468862,0.515033
0,0,0,0,0,0.021911796,0.17291902,0.22994575,0.2898606,0.27204573
0,0,0,0,0,0,0.1202938,0,0.26909032,0.59810215
0,0,0.24300379,0.020004373,0,0.02798195,0,0.08270314,0.5283332,0.09337123
0.07254902,0,0.015243218,0.011478278,0.01853258,0,0,0,0.45085478,0.42937085
0.10139211,0,0.016039854,0.07322375,0.029446019,0,0,0,0.40994647,0.3591778
0.31949064,0,0,0.051345047,0,0,0,0,0,0.6183883
0.10624486,0,0.038730755,0.10054776,0.03507589,0,0.01216448,0,0.51856893,0.18722409
0,0,0,0.018745596,0.19917284,0,0,0.12099642,0.6572613,0
0,0,0,0.061487082,0,0,0.13644011,0.29533455,0.15186241,0.34498462
0,0,0.038287364,0.06389228,0.7600646,0,0,0.064802155,0,0.06559762
0.04464912,0,0,0,0.1910236,0.26511258,0,0.16974045,0.17283696,0.14948982
0,0,0,0.06645844,0,0,0,0,0.25431344,0.6558541
0,0,0.1530484,0.013386469,0.20032905,0,0,0.111727305,0,0.5152543
0.10179705,0,0,0.04180584,0.14996001,0,0.06447397,0,0.19952463,0.437374
0,0,0,0,0.34447384,0,0.07920905,0.07942684,0,0.49088746
0.37302166,0,0,0,0.026532808,0,0,0,0.11668657,0.47895452
0,0,0,0.06956303,0,0,0,0.2457164,0.67359996,0
0.14238073,0,0.027737549,0.06647114,0,0,0,0.14933302,0.45063674,0.15986627
0,0,0,0.0416884,0.031070793,0,0,0,0.74573237,0.17544511
0.043755807,0,0.019034384,0,0,0,0,0,0.36229622,0.5645333
0,0,0,0,0.052734625,0.30705467,0,0,0,0.6142796
0.14342594,0,0,0,0.17231803,0,0,0,0.21773247,0.45450595
0.05484512,0,0,0.20210454,0,0.18142568,0,0.16229422,0.34063408,0.050849523
0.2670917,0,0,0,0.24232624,0,0,0,0.48043495,0
0.10256598,0,0.021169916,0.10233736,0,0.06366154,0,0.078542635,0.23612778,0.38982046
0,0,0,0,0.036196057,0,0,0,0.40933725,0.5462284
0,0,0,0,0,0,0,0.17925683,0.28691456,0.52151084
0.10936894,0.019097887,0,0,0,0.02271312,0,0,0.21148619,0.6327811
0,0,0,0.102019586,0,0,0,0,0.45711035,0.426563
0,0,0.026760047,0,0,0.024074925,0,0.06454154,0.35829207,0.52012056
0.019292068,0.026551025,0.014756348,0,0,0,0,0.26381478,0.38401207,0.28643715
0.0322898,0,0,0.032013748,0,0,0,0,0.47148317,0.45669565
0,0.05669953,0,0,0,0.225616,0.09124803,0.04697192,0.41590357,0.15733755
0,0,0,0.029062524,0,0.05628204,0,0.32733813,0.1576082,0.41833547
0,0,0,0,0.09215585,0.27771658,0,0.17877918,0.44534406,0
0,0,0,0,0.2714215,0,0,0.20623468,0.43213663,0.08408157
0,0,0.08725579,0.23367451,0,0,0,0,0,0.66416997
0,0,0,0,0.03807785,0,0,0,0.7011335,0.25377813
0,0.033005245,0,0.018889936,0,0,0.028597629,0.046016533,0.14596766,0.7212322
0,0,0,0.10067556,0,0.037354395,0.1240919,0.038299512,0.31645837,0.3791149
0,0,0,0,0.09741892,0,0,0.0866841,0.4454858,0.36596236
0,0,0.121890426,0.048728786,0,0,0,0.02798889,0,0.7893841
0.053058892,0,0,0.121271774,0,0,0,0,0.41096255,0.40546966
0,0,0,0.020646341,0,0.24228384,0,0.08889418,0.42978472,0.21197805
0.09573054,0,0,0,0.4816976,0,0,0,0.08157113,0.33685783
0,0.05355939,0,0,0.15255629,0.22438335,0.08248764,0.06283055,0.34153146,0.07825361
0,0.027703065,0,0.11344785,0.39284503,0,0,0.0394195,0.064138144,0.35717112
0,0.024482893,0,0,0,0,0,0,0.76549923,0.19408958
0,0.035903662,0.02696051,0,0.286403,0,0,0.24914432,0.33522207,0.06236001
0,0,0.05026712,0.2072376,0.048861798,0,0,0.120937675,0.43342996,0.13432282
0.27982628,0,0.31258553,0,0.12213481,0.023182308,0,0.14960696,0,0.10574211
0,0,0,0,0,0,0.012507579,0.6678055,0.18740217,0.12680957
0,0,0,0,0.6707976,0,0,0.31465295,0,0
0.13509418,0,0,0.028843941,0,0,0,0.10988311,0.41277483,0.30897364
0.029440038,0,0.016292118,0,0.15426476,0,0.018267022,0.55084485,0.11029437,0.118072756
0.060361847,0.021098292,0.11118453,0.15947486,0.48363447,0,0.03213237,0,0.12870203,0
0,0,0,0,0.2435697,0,0,0,0,0.7475383
0,0.16893572,0.16607681,0,0.17729446,0,0.042686667,0.23225561,0.041627236,0.16801767
0,0,0,0.30001774,0.42523947,0,0,0.26609525,0,0
0.028351903,0,0,0,0.043369755,0,0,0.4416121,0.29026192,0.19236644
0.12633254,0.114538275,0,0,0.09131922,0,0.29615518,0,0.18882702,0.15130341
0,0,0,0.09520325,0,0,0,0,0,0.8870123
0,0,0.023399364,0.07632914,0.13198763,0,0.046906605,0.22597443,0.20243661,0.2906684
0,0,0,0,0,0,0.56310445,0,0.04878973,0.37747824
0,0,0.019314412,0.1157111,0.4526099,0,0,0.20676774,0,0.20003955
0,0,0.011868821,0.107815914,0.5357051,0,0,0,0.20583372,0.1344944
0.04536419,0,0,0.07217583,0.4134508,0,0,0,0.24461341,0.21529868
0.12308148,0,0,0,0.3967692,0,0,0,0.45511383,0
0.07757372,0,0,0,0.046920493,0,0,0.26164526,0.46904027,0.1404908
0,0.26006654,0,0.057266355,0.045446865,0,0.03803988,0.039845914,0.41887864,0.13037795
0,0,0.017180635,0,0.11865192,0,0,0.18247023,0.67152476,0
0.065637544,0,0,0,0,0,0.049838603,0.34277502,0.07229926,0.4577721
0.25022897,0,0,0.08754483,0.267183,0,0,0,0.25559622,0.13434301
0,0,0.23687348,0.2992527,0.4534223,0,0,0,0,0
0,0,0.040225707,0.09081514,0.05590744,0,0,0,0.1655032,0.6461427
0.071777,0,0,0,0.50649184,0.2090696,0,0.19668934,0,0
0,0,0,0,0.10694194,0,0,0.4532174,0.40937153,0
0.014286372,0.014285823,0.014285823,0.014286604,0.014288351,0.014285857,0.014286808,0.014286604,0.01428771,0.87142
0,0,0,0.02014615,0.11353257,0,0,0,0.8584544,0
0,0,0,0,0.07467669,0.047204174,0,0.16710585,0.25247636,0.4530385
0.090431266,0.024895873,0.09660959,0,0.5325866,0.015738986,0,0.12330457,0.11226377,0
0,0,0.046244107,0,0.31594315,0,0,0.4754495,0.15743846,0
0,0,0,0,0.08586943,0,0.13703565,0.0628368,0.6892347,0
0.09390956,0,0,0,0.049701974,0,0,0.34328067,0.20748861,0.30158016
0.0145449545,0.0104183005,0.040305905,0,0.42862186,0,0,0.19545697,0.24085088,0.067310154
0,0,0,0.48081386,0,0,0,0,0.39421886,0.11094019
0.027627103,0.020874372,0,0,0,0,0,0.7089636,0.23119918,0
0,0.020882014,0.07469228,0.18562177,0.33982715,0,0,0,0,0.3700451
0,0,0,0,0.15758532,0,0.0769046,0.11721793,0.13167754,0.5071763
0,0,0,0,0.28467932,0,0,0.45472884,0,0.2465822
0.02003371,0,0,0.12935396,0.2669244,0,0,0,0.5716158,0
0,0,0.038930688,0.141136,0,0,0.05194762,0,0.73729753,0.020936146
0,0,0,0,0,0.17617737,0,0,0.70613605,0.10969407
0.2806082,0,0.03443364,0,0,0,0,0,0.41293442,0.26218408
0.50647926,0,0.06008373,0.016624179,0.30824634,0,0,0,0,0.10572342
0,0,0,0.019590478,0.142454,0,0,0,0.8319693,0
0.05033717,0.037956774,0.013576176,0.05621014,0,0.027697517,0,0.048518594,0.19267577,0.570552
0,0,0.096541956,0.08364989,0,0,0.020638565,0,0.5513643,0.24176785
0.40459856,0.010615844,0,0,0.11093538,0,0,0.03845445,0,0.43134308
0,0.09420755,0,0,0.036175173,0,0,0.26420754,0.29065654,0.3082513
0.016864805,0,0,0.034039002,0,0.025119448,0,0.6812454,0.12359819,0.11623108
0.14440171,0,0,0.21964698,0,0,0,0,0.33438048,0.29246637
